亞的斯亞貝巴	ya|di|si|ya|bei|ba
被毛戴角	pi|mao|dai|jiao
被没收的	bei|mo|shou|de
被人了解	bei|ren|liao|jie
被山带河	pi|shan|dai|he
被偷了	bei|tou|liao
被侮辱地	bei|wu|ru|de
被绣之牺	pi|xiu|zhi|xi
被绣昼行	pi|xiu|zhou|xing
被厌恶	bei|yan|wu
被朱佩紫	pi|zhu|pei|zi
被诅咒地	bei|zu|zhou|de
被赭贯木	pi|zhe|guan|mu
奔放地	ben|fang|de
奔跑地	ben|pao|de
奔走游说	ben|zou|you|shui
本地用户	ben|di|yong|hu
本体地	ben|ti|de
本文地	ben|wen|de
本行	ben|hang
本行业	ben|hang|ye
本曾	ben|ceng
本质地	ben|zhi|de
笨大地	ben|da|de
笨重地	ben|zhong|de
笨拙地	ben|zhuo|de
崩乐	beng|yue
绷劲	beng|jin
绷着劲	beng|zhao|jin
甭价	beng|jie
甭着急	beng|zhao|ji
迸行	beng|hang
逼降	bi|xiang
逼真地	bi|zhen|de
鼻声地	bi|sheng|de
鼻烟似的	bi|yan|shi|de
鼻子塞住	bi|zi|sai|zhu
比较地	bi|jiao|de
比较了解	bi|jiao|liao|jie
比较轻率	bi|jiao|qing|shuai
比较塞车	bi|jiao|sai|che
比较校验	bi|jiao|jiao|yan
比例失调	bi|li|shi|tiao
比率调节	bi|lv|tiao|jie
比浓对数粘度	bi|nong|dui|shu|nian|du
比浓粘度	bi|nong|nian|du
比起来还是好	bi|qi|lai|hai|shi|hao
比去年同期增长	bi|qu|nian|tong|qi|zeng|zhang
比去年增长	bi|qu|nian|zeng|zhang
比赛队长	bi|sai|dui|zhang
比赛完了	bi|sai|wan|liao
比上年增长	bi|shang|nian|zeng|zhang
比什凯克	bi|shi|kai|ke
比什么	bi|shen|me
比物属事	bi|wu|zhu|shi
比喻地	bi|yu|de
比粘度	bi|nian|du
比照地	bi|zhao|de
鄙劣地	bi|lie|de
笔记薄型	bi|ji|bao|xing
笔直地	bi|zhi|de
彼此了解	bi|ci|liao|jie
